"rule"; "support"; "interactions"; "coverage"
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb"; 0.06; 6; 0.16
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=mariadb & enableTranslation=FALSE"; 0.06; 6; 0.16
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb"; 0.06; 7; 0.16
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=mariadb & enableTranslation=FALSE"; 0.06; 6; 0.16
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 0.06; 7; 0.16
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & useSass=TRUE & enableTranslation=FALSE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & prodDatabaseType=mariadb & useSass=TRUE & enableTranslation=FALSE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=mariadb & useSass=TRUE & enableTranslation=TRUE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mariadb & useSass=TRUE & enableTranslation=TRUE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=TRUE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=no & devDatabaseType=mariadb & useSass=TRUE & enableTranslation=TRUE"; 0.05; 7; 0.13
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=TRUE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 0.05; 8; 0.13
"Docker=TRUE & authenticationType=uaa & hibernateCache=ehcache & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.04; 8; 0.11
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & searchEngine=elasticsearch"; 0.03; 7; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mariadb & enableTranslation=TRUE"; 0.03; 7; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & useSass=TRUE & enableTranslation=TRUE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 0.03; 9; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=mariadb & useSass=FALSE & enableTranslation=TRUE"; 0.03; 7; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & useSass=FALSE"; 0.03; 7; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & searchEngine=no & enableTranslation=TRUE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=mysql & useSass=TRUE & enableTranslation=FALSE"; 0.03; 7; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & enableTranslation=FALSE"; 0.03; 8; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE"; 0.03; 8; 0.08
